path_1_bw,delay_1,loss_1,path_2_bw,delay_2,loss_2,split_ratio
1.1,50,0.5,1.2,50,0.2,1.0
1.1,50,0.6,1.3,59,0.7,0.0
1.1,50,0.6,1.8,67,0.7,0.667
1.1,50,0.9,1.3,67,0.5,1.0
1.1,50,1.0,2.0,62,0.4,1.0
1.1,51,0.0,2.2,65,0.3,0.11
1.1,51,0.2,1.2,55,0.5,0.667
1.1,51,0.2,1.7,78,1.0,0.4286
1.1,51,0.3,2.3,83,1.0,1.0
1.1,51,0.5,1.5,81,0.8,0.667
1.1,51,0.8,1.5,54,0.8,0.25
1.1,51,0.8,1.8,80,0.2,1.0
1.1,51,0.8,2.4,83,0.6,0.11
1.1,51,0.8,2.6,62,0.2,0.0
1.1,51,0.9,2.7,78,0.2,1.5
1.1,51,0.9,2.8,73,0.2,0.0
1.1,52,0.1,1.8,57,0.9,0.11
1.1,52,0.2,1.8,62,0.7,0.4286
1.1,52,0.5,1.3,79,0.7,9.0
1.1,52,0.5,1.6,72,0.2,0.25
1.1,52,0.5,1.9,73,0.9,0.667
1.1,52,1.0,1.9,70,0.9,0.0
1.1,52,1.0,2.1,67,0.5,0.0
1.1,52,1.0,2.4,67,0.1,0.11
1.1,53,0.0,2.1,74,0.4,0.25
1.1,53,0.1,1.2,76,1.0,0.25
1.1,53,0.1,2.4,55,0.8,0.25
1.1,53,0.1,2.4,74,0.2,2.33
1.1,53,0.2,2.3,53,0.3,0.25
1.1,53,0.2,3.0,76,0.5,0.4286
1.1,53,0.3,1.4,56,1.0,1.0
1.1,53,0.3,2.9,81,0.8,0.25
1.1,53,0.6,1.0,51,0.1,0.11
1.1,53,0.6,1.5,67,0.6,1.5
1.1,53,0.6,3.0,66,0.2,1.5
1.1,53,0.6,3.0,75,0.1,0.25
1.1,53,0.7,2.2,74,0.8,0.25
1.1,53,0.7,2.3,84,0.5,0.0
1.1,53,0.9,2.5,60,0.7,0.0
1.1,54,0.0,1.7,51,0.4,1.0
1.1,54,0.0,2.6,53,1.0,0.0
1.1,54,0.1,1.4,65,0.8,0.0
1.1,54,0.2,2.2,52,0.2,0.667
1.1,54,0.3,1.7,63,0.9,0.4286
1.1,54,0.3,2.3,68,0.2,0.4286
1.1,54,0.5,1.0,67,0.6,0.0
1.1,54,0.6,1.1,84,0.9,1.5
1.1,54,0.7,1.0,60,0.9,0.4286
1.1,54,0.7,2.0,76,0.1,0.25
1.1,54,0.8,2.3,71,1.0,0.11
1.1,54,0.8,2.9,69,0.9,0.4286
1.1,54,0.9,2.3,84,0.4,0.0
1.1,54,0.9,2.8,52,0.0,0.11
1.1,54,1.0,1.8,50,0.8,1.5
1.1,54,1.0,2.1,74,0.1,0.0
1.1,55,0.0,1.8,59,0.2,0.0
1.1,55,0.0,2.3,60,0.9,0.0
1.1,55,0.2,1.2,78,0.9,0.667
1.1,55,0.2,1.7,66,1.0,0.4286
1.1,55,0.4,1.4,54,0.2,0.667
1.1,55,0.4,3.0,79,0.4,0.25
1.1,55,0.6,2.3,72,0.2,0.25
1.1,55,0.7,1.1,50,0.9,0.25
1.1,55,0.7,3.0,72,0.3,0.667
1.1,55,0.8,1.2,84,0.6,2.33
1.1,55,0.8,2.5,54,0.9,0.0
1.1,55,0.8,2.6,74,1.0,0.11
1.1,55,0.9,2.6,84,0.8,0.11
1.1,55,1.0,1.4,65,0.0,0.25
1.1,55,1.0,1.7,62,0.1,0.667
1.1,56,0.1,1.6,68,1.0,0.667
1.1,56,0.2,1.7,85,0.2,1.0
1.1,56,0.3,1.6,61,0.3,0.25
1.1,56,0.3,2.2,66,0.8,0.4286
1.1,56,0.4,2.2,58,0.2,0.0
1.1,56,0.4,2.7,64,0.9,0.0
1.1,56,0.6,2.1,69,0.7,0.4286
1.1,56,0.6,2.2,85,0.2,1.0
1.1,56,0.6,2.5,63,0.8,0.667
1.1,56,0.6,2.5,69,0.8,1.0
1.1,56,0.6,3.0,76,0.3,0.4286
1.1,56,0.7,1.2,59,0.5,0.11
1.1,56,0.8,2.3,67,0.1,0.667
1.1,56,0.9,2.0,60,0.8,0.667
1.1,56,1.0,1.0,75,1.0,1.0
1.1,57,0.0,1.8,64,0.2,0.667
1.1,57,0.1,2.2,77,0.9,0.0
1.1,57,0.2,2.7,84,0.1,1.0
1.1,57,0.3,1.4,72,0.9,0.4286
1.1,57,0.3,2.8,77,0.3,1.5
1.1,57,0.4,1.0,65,0.2,0.25
1.1,57,0.4,1.1,81,0.9,0.4286
1.1,57,0.5,2.0,70,1.0,0.4286
1.1,57,0.5,2.4,75,0.2,0.0
1.1,57,0.5,2.6,78,0.2,0.11
1.1,57,0.6,1.6,57,0.5,1.5
1.1,57,0.6,2.3,74,1.0,0.0
1.1,57,0.7,1.3,76,0.3,1.5
1.1,57,0.7,2.7,57,0.4,0.0
1.1,57,0.8,1.3,80,0.6,0.11
1.1,57,0.8,2.9,66,0.0,0.11
1.1,57,0.9,1.3,81,0.9,9.0
1.1,57,0.9,1.8,80,0.8,0.11
1.1,57,1.0,2.2,82,0.1,0.4286
1.1,57,1.0,2.3,59,0.8,2.33
1.1,57,1.0,2.4,60,0.8,1.0
